Temp (°C)    Avg V
6.6         0.56756482
7.1         0.55314688
9.5         0.5799652
11.1         0.59662071
13.1         0.61480376
15.5         0.64032704
22.1         0.71317926
26.5         0.74792032
31.1         0.79378172
35.3         0.82681523
40.1         0.87602173
42.0         0.89513232
46.5         0.94656139
50.2         0.97693981
52.8         1.00378313
56.1         1.03702415
57.7         1.05089207
60.3         1.07584033
61.3         1.08600814
63.6         1.10921135
65.2         1.12518934
68.5         1.16387552
69.5         1.17613839
